,ID,Year,Fall,Name,Name_Type,Mass,Latitude,Longitude
0,1,1880-01-01T00:00:00.000,Fell,Aachen,Valid,21,50.775,6.08333
1,2,1951-01-01T00:00:00.000,Fell,Aarhus,Valid,720,56.18333,10.23333
2,6,1952-01-01T00:00:00.000,Fell,Abee,Valid,107000,54.21667,-113.0
3,10,1976-01-01T00:00:00.000,Fell,Acapulco,Valid,1914,16.88333,-99.9
4,370,1902-01-01T00:00:00.000,Fell,Achiras,Valid,780,-33.16667,-64.95
5,379,1919-01-01T00:00:00.000,Fell,Adhi Kot,Valid,4239,32.1,71.8
6,390,1949-01-01T00:00:00.000,Fell,Adzhi-Bogdo (stone),Valid,910,44.83333,95.16667
7,392,1814-01-01T00:00:00.000,Fell,Agen,Valid,30000,44.21667,0.61667
8,398,1930-01-01T00:00:00.000,Fell,Aguada,Valid,1620,-31.6,-65.23333
9,417,1920-01-01T00:00:00.000,Fell,Aguila Blanca,Valid,1440,-30.86667,-64.55
10,423,1974-01-01T00:00:00.000,Fell,Aioun el Atrouss,Valid,1000,16.39806,-9.57028
11,424,1925-01-01T00:00:00.000,Fell,Aïr,Valid,24000,19.08333,8.38333
12,425,1769-01-01T00:00:00.000,Fell,Aire-sur-la-Lys,Valid,,50.66667,2.33333
13,426,1949-01-01T00:00:00.000,Fell,Akaba,Valid,779,29.51667,35.05
14,427,1838-01-01T00:00:00.000,Fell,Akbarpur,Valid,1800,29.71667,77.95
15,432,1959-01-01T00:00:00.000,Fell,Akwanga,Valid,3000,8.91667,8.43333
16,433,1981-01-01T00:00:00.000,Fell,Akyumak,Valid,50000,39.91667,42.81667
17,446,1957-01-01T00:00:00.000,Fell,Al Rais,Valid,160,24.41667,39.51667
18,447,2001-01-01T00:00:00.000,Fell,Al Zarnkh,Valid,700,13.66033,28.96
19,448,1806-01-01T00:00:00.000,Fell,Alais,Valid,6000,44.11667,4.08333
20,453,1766-01-01T00:00:00.000,Fell,Albareto,Valid,2000,44.65,11.01667
21,454,1949-01-01T00:00:00.000,Fell,Alberta,Valid,625,2.0,22.66667
22,458,2002-01-01T00:00:00.000,Fell,Alby sur Chéran,Valid,252,45.82133,6.01533
23,461,1835-01-01T00:00:00.000,Fell,Aldsworth,Valid,700,51.78333,-1.78333
24,462,1873-01-01T00:00:00.000,Fell,Aleppo,Valid,3200,36.23333,37.13333
25,463,1860-01-01T00:00:00.000,Fell,Alessandria,Valid,908,44.88333,8.75
26,465,1900-01-01T00:00:00.000,Fell,Alexandrovsky,Valid,9251,50.95,31.81667
27,466,1883-01-01T00:00:00.000,Fell,Alfianello,Valid,228000,45.26667,10.15
28,2276,1899-01-01T00:00:00.000,Fell,Allegan,Valid,32000,42.53333,-85.88333
29,2278,1969-01-01T00:00:00.000,Fell,Allende,Valid,2000000,26.96667,-105.31667
30,48915,2008-01-01T00:00:00.000,Fell,Almahata Sitta,Valid,3950,20.74575,32.41275
31,2284,1977-01-01T00:00:00.000,Fell,Alta'ameem,Valid,6000,35.27333,44.21556
32,2290,1895-01-01T00:00:00.000,Fell,Ambapur Nagla,Valid,6400,27.66667,78.25
33,2294,1880-01-01T00:00:00.000,Fell,Andhara,Valid,2700,26.58333,85.56667
34,2295,1898-01-01T00:00:00.000,Fell,Andover,Valid,3200,44.61667,-70.75
35,2296,1969-01-01T00:00:00.000,Fell,Andreevka,Valid,600,48.7,37.5
36,2298,1939-01-01T00:00:00.000,Fell,Andura,Valid,17900,20.88333,76.86667
37,50693,,Found,Northwest Africa 5815,Valid,256.8,0.0,0.0
38,2301,1822-01-01T00:00:00.000,Fell,Angers,Valid,,47.46667,-0.55
39,2302,1869-01-01T00:00:00.000,Fell,Angra dos Reis (stone),Valid,1500,-22.96667,-44.31667
40,2304,1942-01-01T00:00:00.000,Fell,Ankober,Valid,6500,9.53333,39.71667
41,2305,1971-01-01T00:00:00.000,Fell,Anlong,Valid,2500,25.15,105.18333
42,2313,1984-01-01T00:00:00.000,Fell,Aomori,Valid,320,40.81056,140.78556
43,2318,1914-01-01T00:00:00.000,Fell,Appley Bridge,Valid,15000,53.58333,-2.71667
44,2320,1803-01-01T00:00:00.000,Fell,Apt,Valid,3200,43.86667,5.38333
45,2325,1954-01-01T00:00:00.000,Fell,Arbol Solo,Valid,810,-33.0,-66.0
46,2329,1932-01-01T00:00:00.000,Fell,Archie,Valid,5070,38.5,-94.3
47,2340,1950-01-01T00:00:00.000,Fell,Arroyo Aguiar,Valid,7450,-31.41667,-60.66667
48,2345,1805-01-01T00:00:00.000,Fell,Asco,Valid,41,42.45,9.03333
49,48954,2009-01-01T00:00:00.000,Fell,Ash Creek,Valid,9500,31.805,-97.01
50,2346,1923-01-01T00:00:00.000,Fell,Ashdon,Valid,1300,52.05,0.3
51,2353,1886-01-01T00:00:00.000,Fell,Assisi,Valid,2000,43.03333,12.55
52,4883,1920-01-01T00:00:00.000,Fell,Atarra,Valid,1280,25.25417,80.625
53,4884,1896-01-01T00:00:00.000,Fell,Atemajac,Valid,94.2,20.06667,-103.66667
54,4885,1933-01-01T00:00:00.000,Fell,Athens,Valid,265,34.75,-87.0
55,4888,1945-01-01T00:00:00.000,Fell,Atoka,Valid,1384.2,34.31667,-96.15
56,4893,1836-01-01T00:00:00.000,Fell,Aubres,Valid,800,44.38333,5.16667
57,4899,1865-01-01T00:00:00.000,Fell,Aumale,Valid,50000,36.16667,3.66667
58,4900,1842-01-01T00:00:00.000,Fell,Aumieres,Valid,2000,44.33333,3.23333
59,4903,1858-01-01T00:00:00.000,Fell,Ausson,Valid,50000,43.08333,0.58333
60,4905,1952-01-01T00:00:00.000,Fell,Avanhandava,Valid,9330,-21.46028,-49.95083
61,4906,1908-01-01T00:00:00.000,Fell,Avce,Valid,1230,46.0,13.5
62,4907,1855-01-01T00:00:00.000,Fell,Avilez,Valid,146,25.0,-103.5
63,4910,1968-01-01T00:00:00.000,Fell,Awere,Valid,134,2.71667,32.83333
64,4913,1938-01-01T00:00:00.000,Fell,Aztec,Valid,2830,36.8,-108.0
65,4917,1814-01-01T00:00:00.000,Fell,Bachmut,Valid,18000,48.6,38.0
66,4922,1934-01-01T00:00:00.000,Fell,Bahjoi,Valid,10322,28.48333,78.5
67,4925,1929-01-01T00:00:00.000,Fell,Bald Mountain,Valid,3700,35.96667,-82.48333
68,4926,1922-01-01T00:00:00.000,Fell,Baldwyn,Valid,345,34.5,-88.66667
69,4928,1907-01-01T00:00:00.000,Fell,Bali,Valid,1000,5.38333,16.38333
70,4934,1993-01-01T00:00:00.000,Fell,Ban Rong Du,Valid,16700,16.66667,101.18333
71,4935,1871-01-01T00:00:00.000,Fell,Bandong,Valid,11500,-6.91667,107.6
72,4936,1892-01-01T00:00:00.000,Fell,Bansur,Valid,15000,27.7,76.33333
73,4937,1913-01-01T00:00:00.000,Fell,Banswal,Valid,14,30.4,78.2
74,4938,1933-01-01T00:00:00.000,Fell,Banten,Valid,629,-6.33333,106.0
75,4942,1790-01-01T00:00:00.000,Fell,Barbotan,Valid,6400,43.95,-0.05
76,4944,1704-01-01T00:00:00.000,Fell,Barcelona (stone),Valid,,41.36667,2.16667
77,4946,1842-01-01T00:00:00.000,Fell,Barea,Valid,3200,42.38333,-2.5
78,4947,1904-01-01T00:00:00.000,Fell,Barnaul,Valid,23.2,52.73333,84.08333
79,4948,1886-01-01T00:00:00.000,Fell,Barntrup,Valid,17,52.0,9.1
80,4949,1910-01-01T00:00:00.000,Fell,Baroti,Valid,4500,31.61667,76.8
81,4954,1965-01-01T00:00:00.000,Fell,Barwell,Valid,44000,52.56528,-1.33972
82,44876,2006-01-01T00:00:00.000,Fell,Bassikounou,Valid,29560,15.78333,-5.9
83,4957,1994-01-01T00:00:00.000,Fell,Baszkówka,Valid,15500,52.03333,20.93583
84,4974,1892-01-01T00:00:00.000,Fell,Bath,Valid,21000,45.41667,-98.31667
85,4975,1902-01-01T00:00:00.000,Fell,Bath Furnace,Valid,86000,38.25,-83.75
86,56133,2012-01-01T00:00:00.000,Fell,Battle Mountain,Valid,2900,40.66813,-117.18913
87,4976,1989-01-01T00:00:00.000,Fell,Bawku,Valid,1557,11.08333,-0.18333
88,4977,1916-01-01T00:00:00.000,Fell,Baxter,Valid,611,36.75,-93.5
89,4984,1929-01-01T00:00:00.000,Fell,Beardsley,Valid,16000,39.8,-101.2
90,4986,1893-01-01T00:00:00.000,Fell,Beaver Creek,Valid,14000,51.16667,-117.33333
91,4993,1949-01-01T00:00:00.000,Fell,Beddgelert,Valid,794,53.01667,-4.1
92,5005,1961-01-01T00:00:00.000,Fell,Bells,Valid,375,33.6,-96.46667
93,5009,1937-01-01T00:00:00.000,Fell,Belville,Valid,,-32.33333,-64.86667
94,5011,1798-01-01T00:00:00.000,Fell,Benares (a),Valid,3700,25.36667,82.91667
95,30443,2004-01-01T00:00:00.000,Fell,Benguerir,Valid,25000,32.25,-8.15
96,5018,2001-01-01T00:00:00.000,Fell,Beni M'hira,Valid,19000,32.86667,10.8
97,5021,1938-01-01T00:00:00.000,Fell,Benld,Valid,1770.5,39.08333,-89.15
98,5023,1943-01-01T00:00:00.000,Fell,Benoni,Valid,3880,-26.16667,28.41667
99,5024,2002-01-01T00:00:00.000,Fell,Bensour,Valid,45000,30.0,-7.0
100,5026,1949-01-01T00:00:00.000,Fell,Benton,Valid,2840,45.95,-67.55
101,48975,2008-01-01T00:00:00.000,Fell,Berduc,Valid,270,-31.91,-58.32833
102,5028,1924-01-01T00:00:00.000,Fell,Béréba,Valid,18000,11.65,-3.65
103,5029,1811-01-01T00:00:00.000,Fell,Berlanguillas,Valid,1440,41.68333,-3.8
104,47355,2004-01-01T00:00:00.000,Fell,Berthoud,Valid,960,40.30583,-105.02325
105,5032,1859-01-01T00:00:00.000,Fell,Bethlehem,Valid,13.9,42.53333,-73.83333
106,5034,1859-01-01T00:00:00.000,Fell,Beuste,Valid,2000,43.21667,-0.23333
107,5035,1921-01-01T00:00:00.000,Fell,Beyrout,Valid,1100,33.88333,35.5
108,5037,1877-01-01T00:00:00.000,Fell,Bhagur,Valid,18,20.88333,74.83333
109,36591,2002-01-01T00:00:00.000,Fell,Bhawad,Valid,678,26.50833,73.11528
110,5039,1893-01-01T00:00:00.000,Fell,Bherai,Valid,100,20.83333,71.46667
111,5040,1940-01-01T00:00:00.000,Fell,Bhola,Valid,1047,22.68333,90.65
112,5041,1905-01-01T00:00:00.000,Fell,Bholghati,Valid,2500,22.08333,86.9
113,5042,1827-01-01T00:00:00.000,Fell,Bialystok,Valid,4000,53.1,23.2
114,5043,1887-01-01T00:00:00.000,Fell,Bielokrynitschie,Valid,1900,50.13333,27.16667
115,5045,1999-01-01T00:00:00.000,Fell,Bilanga,Valid,25000,12.45,-0.08333
116,5051,1984-01-01T00:00:00.000,Fell,Binningup,Valid,488.1,-33.15639,115.67639
117,5056,1923-01-01T00:00:00.000,Fell,Birni N'konni,Valid,560,13.76667,5.3
118,5059,1843-01-01T00:00:00.000,Fell,Bishopville,Valid,6000,34.16667,-80.28333
119,5060,1895-01-01T00:00:00.000,Fell,Bishunpur,Valid,1039,25.38333,82.6
120,5063,1796-01-01T00:00:00.000,Fell,Bjelaja Zerkov,Valid,1850,49.78333,30.16667
121,5064,1899-01-01T00:00:00.000,Fell,Bjurböle,Valid,330000,60.4,25.8
122,5065,1941-01-01T00:00:00.000,Fell,Black Moshannan Park,Valid,705,40.91667,-78.08333
123,5068,1906-01-01T00:00:00.000,Fell,Blackwell,Valid,2381,36.83333,-97.33333
124,5071,1909-01-01T00:00:00.000,Fell,Blanket,Valid,5100,31.83333,-98.83333
125,5072,1833-01-01T00:00:00.000,Fell,Blansko,Valid,470,49.36667,16.63333
126,5076,1938-01-01T00:00:00.000,Fell,Bloomington,Valid,67.8,40.48,-89.00417
127,5090,1977-01-01T00:00:00.000,Fell,Bo Xian,Valid,7500,33.83333,115.83333
128,5093,1804-01-01T00:00:00.000,Fell,Bocas,Valid,56,23.0,-102.0
129,5097,1962-01-01T00:00:00.000,Fell,Bogou,Valid,8800,12.5,0.7
130,5098,1916-01-01T00:00:00.000,Fell,Boguslavka,Valid,256000,44.55,131.63333
131,5110,1808-01-01T00:00:00.000,Fell,Borgo San Donino,Valid,1676,44.86667,10.05
132,5111,1894-01-01T00:00:00.000,Fell,Bori,Valid,8600,21.95,78.03333
133,5112,1930-01-01T00:00:00.000,Fell,Boriskino,Valid,1342,54.23333,52.48333
134,5113,1852-01-01T00:00:00.000,Fell,Borkut,Valid,7000,48.15,24.28333
135,5114,1812-01-01T00:00:00.000,Fell,Borodino,Valid,500,55.46667,35.86667
136,5117,1823-01-01T00:00:00.000,Fell,Botschetschki,Valid,614,51.33333,33.88333
137,57168,2003-01-01T00:00:00.000,Fell,Boumdeid (2003),Valid,190,17.71067,-11.3715
138,57167,2011-01-01T00:00:00.000,Fell,Boumdeid (2011),Valid,3599,17.17493,-11.34133
139,5121,1969-01-01T00:00:00.000,Fell,Bovedy,Valid,5460,54.56667,-6.33333
140,5128,1886-01-01T00:00:00.000,Fell,Bradford Woods,Valid,762,40.5,-80.08333
141,5133,1847-01-01T00:00:00.000,Fell,Braunau,Valid,39000,50.6,16.3
142,5134,1956-01-01T00:00:00.000,Fell,Breitscheid,Valid,1500,50.66694,8.18361
143,5135,1855-01-01T00:00:00.000,Fell,Bremervörde,Valid,7250,53.4,9.1
144,5140,1933-01-01T00:00:00.000,Fell,Brient,Valid,219,52.13333,59.31667
145,5156,1960-01-01T00:00:00.000,Fell,Bruderheim,Valid,303000,53.9,-112.88333
146,30448,2001-01-01T00:00:00.000,Fell,Bukhara,Valid,5300,39.77978,64.60035
147,5163,1964-01-01T00:00:00.000,Fell,Bulls Run,Valid,2250,,64.60035
148,48653,2007-01-01T00:00:00.000,Fell,Bunburra Rockhole,Valid,324,-31.35,129.19
149,5165,1942-01-01T00:00:00.000,Fell,Bununu,Valid,357,10.01667,9.58333
150,5169,1919-01-01T00:00:00.000,Fell,Bur-Gheluai,Valid,120000,5.0,48.0
151,5175,1990-01-01T00:00:00.000,Fell,Burnwell,Valid,1504,37.62194,-82.23722
152,5177,1946-01-01T00:00:00.000,Fell,Bursa,Valid,25000,40.2,29.23333
153,5178,1863-01-01T00:00:00.000,Fell,Buschhof,Valid,5000,46.45,25.78333
154,5181,1852-01-01T00:00:00.000,Fell,Bustee,Valid,1500,26.78333,82.83333
155,5183,1861-01-01T00:00:00.000,Fell,Butsura,Valid,29000,27.08333,84.08333
156,48654,2008-01-01T00:00:00.000,Fell,Buzzard Coulee,Valid,41000,52.996,-109.84817
157,5185,1870-01-01T00:00:00.000,Fell,Cabezo de Mayo,Valid,25000,37.98333,-1.16667
158,5186,1886-01-01T00:00:00.000,Fell,Cabin Creek,Valid,48500,35.5,-93.5
159,5187,1919-01-01T00:00:00.000,Fell,Cacak,Valid,212,43.83889,20.33333
160,45976,2007-01-01T00:00:00.000,Fell,Cali,Valid,478,3.405,-76.51
161,5200,1916-01-01T00:00:00.000,Fell,Calivo,Valid,2400,11.75,122.33333
162,5249,1991-01-01T00:00:00.000,Fell,Campos Sales,Valid,23680,-7.03333,-40.16667
163,5250,1964-01-01T00:00:00.000,Fell,Çanakkale,Valid,4000,39.8,26.6
164,5251,1861-01-01T00:00:00.000,Fell,Cañellas,Valid,945,41.25,1.66667
165,5252,1866-01-01T00:00:00.000,Fell,Cangas de Onis,Valid,34000,43.38333,-5.15
166,5253,1973-01-01T00:00:00.000,Fell,Canon City,Valid,1400,38.47028,-105.24139
167,5260,1846-01-01T00:00:00.000,Fell,Cape Girardeau,Valid,2300,37.26667,-89.58333
168,5264,1934-01-01T00:00:00.000,Fell,Capilla del Monte,Valid,750,-30.88333,-64.55
169,45817,2007-01-01T00:00:00.000,Fell,Carancas,Valid,342,-16.66444,-69.04389
170,5265,1902-01-01T00:00:00.000,Fell,Caratash,Valid,8,38.5,27.0
171,5291,1874-01-01T00:00:00.000,Fell,Castalia,Valid,7300,36.08333,-78.06667
172,5292,1791-01-01T00:00:00.000,Fell,Castel Berardenga,Valid,,43.35,11.5
173,5293,1848-01-01T00:00:00.000,Fell,Castine,Valid,94,44.38333,-68.75
174,5295,1583-01-01T00:00:00.000,Fell,Castrovillari,Valid,15000,39.8,16.2
175,5296,1810-01-01T00:00:00.000,Fell,Caswell County,Valid,1360,36.5,-79.25
176,5306,1988-01-01T00:00:00.000,Fell,Ceniceros,Valid,1025,26.46667,-105.23333
177,5307,1956-01-01T00:00:00.000,Fell,Centerville,Valid,45.6,43.2,-96.91667
178,5308,1840-01-01T00:00:00.000,Fell,Cereseto,Valid,6460,45.08333,8.3
179,5313,1998-01-01T00:00:00.000,Fell,Chadong,Valid,3700,28.53333,109.31667
180,5314,1814-01-01T00:00:00.000,Fell,Chail,Valid,0.5,25.36667,81.66667
181,5315,1907-01-01T00:00:00.000,Fell,Chainpur,Valid,8200,25.85,83.48333
182,5316,1933-01-01T00:00:00.000,Fell,Chajari,Valid,18300,-30.78333,-58.05
183,5320,1838-01-01T00:00:00.000,Fell,Chandakapur,Valid,8800,20.26667,76.01667
184,5321,1885-01-01T00:00:00.000,Fell,Chandpur,Valid,1100,27.28333,79.05
185,5322,1977-01-01T00:00:00.000,Fell,Changde,Valid,1810,29.08333,111.75
186,5325,1812-01-01T00:00:00.000,Fell,Chantonnay,Valid,31500,46.68333,1.05
187,5328,1835-01-01T00:00:00.000,Fell,Charlotte,Valid,4300,36.16667,-87.33333
188,5329,1810-01-01T00:00:00.000,Fell,Charsonville,Valid,27000,47.93333,1.56667
189,5330,1834-01-01T00:00:00.000,Fell,Charwallas,Valid,12000,29.48333,75.5
190,5331,1815-01-01T00:00:00.000,Fell,Chassigny,Valid,4000,47.71667,5.36667
191,5332,1841-01-01T00:00:00.000,Fell,Château-Renard,Valid,30000,47.93333,2.91667
192,5334,1925-01-01T00:00:00.000,Fell,Chaves,Valid,2945,41.93333,-7.46667
193,5338,1988-01-01T00:00:00.000,Fell,Chela,Valid,2936,-3.66667,32.5
194,57165,2013-01-01T00:00:00.000,Fell,Chelyabinsk,Valid,100000,54.81667,61.11667
195,47347,2007-01-01T00:00:00.000,Fell,Chergach ,Valid,100000,23.69639,-5.01472
196,5339,1964-01-01T00:00:00.000,Fell,Chernyi Bor,Valid,6000,53.7,30.1
197,5340,1933-01-01T00:00:00.000,Fell,Cherokee Springs,Valid,8400,35.03333,-81.88333
198,5341,1901-01-01T00:00:00.000,Fell,Chervettaz,Valid,705,46.55,6.81667
199,5342,1939-01-01T00:00:00.000,Fell,Chervony Kut,Valid,1700,50.83333,34.0
200,5344,1880-01-01T00:00:00.000,Fell,Chetrinahatti,Valid,72,14.5,76.5
201,5345,1981-01-01T00:00:00.000,Fell,Chiang Khan,Valid,367,17.9,101.63333
202,5349,1938-01-01T00:00:00.000,Fell,Chicora,Valid,303,40.93333,-79.73333
203,5355,1988-01-01T00:00:00.000,Fell,Chisenga,Valid,3920,-10.05944,33.395
204,5356,1966-01-01T00:00:00.000,Fell,Chitado,Valid,,-17.35,13.96667
205,5357,1978-01-01T00:00:00.000,Fell,Chitenay,Valid,4000,47.47083,0.97667
206,5364,1979-01-01T00:00:00.000,Fell,Cilimus,Valid,1600,-6.95,108.1
207,5374,1984-01-01T00:00:00.000,Fell,Claxton,Valid,1455,32.1025,-81.87278
208,5383,1822-01-01T00:00:00.000,Fell,Clohars,Valid,48.6,,-81.87278
209,5395,1917-01-01T00:00:00.000,Fell,Colby (Wisconsin),Valid,104000,44.9,-90.28333
210,5397,1838-01-01T00:00:00.000,Fell,Cold Bokkeveld,Valid,5200,-33.13333,19.38333
211,5401,1994-01-01T00:00:00.000,Fell,Coleman,Valid,469,43.76111,-84.50778
212,5403,1890-01-01T00:00:00.000,Fell,Collescipoli,Valid,5000,42.53333,12.61667
213,5418,1965-01-01T00:00:00.000,Fell,Conquista,Valid,20350,-19.85,-47.55
214,5451,1844-01-01T00:00:00.000,Fell,Cosina,Valid,1200,21.16667,-100.86667
215,5465,1917-01-01T00:00:00.000,Fell,Cranganore,Valid,1460,10.2,76.26667
216,5470,1936-01-01T00:00:00.000,Fell,Crescent,Valid,78.400000000000006,35.95,-97.58333
217,5474,1877-01-01T00:00:00.000,Fell,Cronstad,Valid,3650,-27.7,27.3
218,5476,1892-01-01T00:00:00.000,Fell,Cross Roads,Valid,167,35.63333,-78.13333
219,5477,1902-01-01T00:00:00.000,Fell,Crumlin,Valid,4255,54.61667,-6.21667
220,5496,1919-01-01T00:00:00.000,Fell,Cumberland Falls,Valid,17000,36.83333,-84.35
221,5500,1877-01-01T00:00:00.000,Fell,Cynthiana,Valid,6000,38.4,-84.25
222,5504,1981-01-01T00:00:00.000,Fell,Dahmani,Valid,18000,35.61667,8.83333
223,5511,1878-01-01T00:00:00.000,Fell,Dandapur,Valid,5650,26.91667,83.96667
224,5513,1868-01-01T00:00:00.000,Fell,Daniel's Kuil,Valid,1064,-28.2,24.56667
225,5514,1868-01-01T00:00:00.000,Fell,Danville,Valid,2000,34.4,-87.06667
226,6603,1804-01-01T00:00:00.000,Fell,Darmstadt,Valid,100,49.86667,8.65
227,6604,1998-01-01T00:00:00.000,Fell,Dashoguz,Valid,7000,41.98444,59.685
228,51559,2008-01-01T00:00:00.000,Fell,Daule,Valid,6580,-1.87089,-79.95756
229,6621,1887-01-01T00:00:00.000,Fell,De Cewsville,Valid,340,43.0,-80.0
230,6634,1829-01-01T00:00:00.000,Fell,Deal,Valid,28,40.25,-74.0
231,6642,1897-01-01T00:00:00.000,Fell,Delhi,Valid,0.8,28.56667,77.25
232,6649,1911-01-01T00:00:00.000,Fell,Demina,Valid,16400,51.46667,84.76667
233,6660,1967-01-01T00:00:00.000,Fell,Denver,Valid,230,39.7825,-104.93056
234,6664,2001-01-01T00:00:00.000,Fell,Dergaon,Valid,12500,26.68333,93.86667
235,6693,1962-01-01T00:00:00.000,Fell,Desuri,Valid,25400,25.73333,73.61667
236,6694,2001-01-01T00:00:00.000,Fell,Devgaon,Valid,12000,19.0,81.0
237,6696,1994-01-01T00:00:00.000,Fell,Devri-Khera,Valid,1140,24.225,76.525
238,6698,1976-01-01T00:00:00.000,Fell,Dhajala,Valid,45000,22.37778,71.42722
239,6699,1848-01-01T00:00:00.000,Fell,Dharwar,Valid,1800,14.88333,75.6
240,7640,1860-01-01T00:00:00.000,Fell,Dhurmsala,Valid,32000,32.23333,76.46667
241,47350,2007-01-01T00:00:00.000,Fell,Didim,Valid,3396,37.35172,27.32997
242,7642,1906-01-01T00:00:00.000,Fell,Diep River,Valid,1000,-33.75,18.56667
243,7649,1957-01-01T00:00:00.000,Fell,Distrito Quebracho,Valid,400,-31.88333,-60.46667
244,7652,1884-01-01T00:00:00.000,Fell,Djati-Pengilon,Valid,166000,-7.5,111.5
245,7656,1961-01-01T00:00:00.000,Fell,Djermaia,Valid,3950,12.73333,15.05
246,7657,1999-01-01T00:00:00.000,Fell,Djoumine,Valid,10000,36.95,9.55
247,7658,1903-01-01T00:00:00.000,Fell,Dokachi,Valid,3840,23.5,90.33333
248,7659,1864-01-01T00:00:00.000,Fell,Dolgovoli,Valid,1600,50.75,25.3
249,7661,1907-01-01T00:00:00.000,Fell,Domanitch,Valid,438,40.0,29.0
250,7706,1995-01-01T00:00:00.000,Fell,Dong Ujimqin Qi,Valid,128800,45.5,119.03333
251,7707,1899-01-01T00:00:00.000,Fell,Donga Kohrod,Valid,230,21.86667,82.45
